VIN,Year,Make,Model,Price,Price Rating,Exterior,Interior,miles,Fuel Type,Transmission,Cylinders,Drive
7JRL12FLXRG317362,2024,Volvo,S60 Plus Dark Theme FWD,"$27,487",Excellent Price,Silver Dawn Metallic,Black,7260,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
7JRL12TL6RG298507,2024,Volvo,S60 Plus Dark Theme AWD,"$30,499",Excellent Price,Denim Blue Metallic,Black,1473,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
YV4ED3UL0P2964111,2023,Volvo,XC40 Recharge Plus,"$28,189",Excellent Price,Onyx Black Metallic,Charcoal,21512,Electric,Automatic,"L - Electric, L - Electric",AWD
7JRL12FLXRG317362,2024,Volvo,S60 Plus Dark Theme FWD,"$27,487",Excellent Price,Silver Dawn Metallic,Black,7260,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
7JRL12FLXRG317619,2024,Volvo,S60 Plus Dark Theme FWD,"$26,985",Excellent Price,Onyx Black Metallic,Unknown,11124,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
7JRL12FL9RG317711,2024,Volvo,S60 Plus Dark Theme FWD,"$26,785",Excellent Price,Onyx Black Metallic,Unknown,14254,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
YV4L12RW8P1199152,2023,Volvo,XC60 B5 Plus Dark Theme AWD,"$28,699",Great Price,Denim Blue Metallic,Charcoal,58234,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
7JRL12FL3RG315212,2024,Volvo,S60 Plus Dark Theme FWD,"$26,987",Excellent Price,Gray,Black,13293,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
7JRL12FLXRG318818,2024,Volvo,S60 Plus Dark Theme FWD,"$26,987",Excellent Price,Dark Blue,Blue,14713,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
7JRL12FL6RG297241,2024,Volvo,S60 Plus Dark Theme FWD,"$26,987",Excellent Price,Crystal White Metallic,Black,21232,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
7JRL12FL0RG314826,2024,Volvo,S60 Plus Dark Theme FWD,"$26,987",Excellent Price,Gray,Black,12476,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
7JRL12FL1RG319176,2024,Volvo,S60 Plus Dark Theme FWD,"$26,987",Great Price,Silver Dawn Metallic,Black,18292,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
7JRL12FK7RG321358,2024,Volvo,S60 Core Dark Theme FWD,"$26,998",Excellent Price,Crystal White Metallic,Black,24235,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
YV4062PN9P1925244,2023,Volvo,XC90 B6 Plus 7-Passenger AWD,"$40,998",Excellent Price,Gray,Black,30365,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
7JRL12FK6RG318760,2024,Volvo,S60 Core Dark Theme FWD,"$23,995",Excellent Price,Onyx Black Metallic,Unknown,6094,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
7JRL12FK1RG319881,2024,Volvo,S60 Core Dark Theme FWD,"$27,998",Fair Price,Gray,Black,17631,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
YV4ED3GL0P2064210,2023,Volvo,C40 Recharge Twin Plus eAWD,"$18,995",Excellent Price,Black Stone,Unknown,59088,Electric,Automatic,"L - Electric, L - Electric",AWD
YV4L12RV3P1264609,2023,Volvo,XC60 B5 Core AWD,"$34,998",Great Price,Denim Blue Metallic,Black,16679,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
7JRL12FK4RG320555,2024,Volvo,S60 Core Dark Theme FWD,"$27,998",Fair Price,Gray,Black,18134,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
7JRL12FK6RG321187,2024,Volvo,S60 Core Dark Theme FWD,"$26,998",Fair Price,Crystal White Metallic,Black,19471,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
7JRL12FK3RG321518,2024,Volvo,S60 Core Dark Theme FWD,"$21,995",Excellent Price,Crystal White Metallic,Unknown,20115,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
YV4ED3GL5P2064252,2023,Volvo,C40 Recharge Twin Plus eAWD,"$19,995",Excellent Price,Black Stone,Unknown,66739,Electric,Automatic,"L - Electric, L - Electric",AWD
7JRL12FLXRG316888,2024,Volvo,S60 Plus Dark Theme FWD,"$29,600",Great Price,Onyx Black Metallic,Charcoal,9945,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
YV4ED3GL9P2065906,2023,Volvo,C40 Recharge Twin Plus eAWD,"$21,995",Excellent Price,Crystal White Metallic,Unknown,52743,Electric,Automatic,"L - Electric, L - Electric",AWD
7JRL12FK7RG321537,2024,Volvo,S60 Core Dark Theme FWD,"$26,998",Fair Price,Crystal White Metallic,Black,27389,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
7JRL12FK0RG320195,2024,Volvo,S60 Core Dark Theme FWD,"$22,995",Excellent Price,Gray,Unknown,23852,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
YV4062PN4P1926222,2023,Volvo,XC90 B6 Plus 7-Passenger AWD,"$41,995",Great Price,Denim Blue Metallic,Beige,30496,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
YV4L12RL5R1828911,2024,Volvo,XC60 Plus Dark Theme,"$40,900",Fair Price,Crystal White Metallic,Blond,9350,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
YV4062PN7P1975429,2023,Volvo,XC90 B6 Plus 7-Passenger AWD,"$42,998",Great Price,Crystal White Metallic,Blond,26981,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
7JRL12FK1RG317984,2024,Volvo,S60 Core Dark Theme FWD,"$22,995",Excellent Price,Gray,Unknown,21288,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
7JRL12FK9RG319109,2024,Volvo,S60 Core Dark Theme FWD,"$22,995",Excellent Price,Silver Dawn Metallic,Unknown,17193,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
7JRL12FK8RG318615,2024,Volvo,S60 Core Dark Theme FWD,"$22,995",Excellent Price,Onyx Black Metallic,Unknown,16963,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
7JRL12FKXRG319037,2024,Volvo,S60 Core Dark Theme FWD,"$22,995",Excellent Price,Silver Dawn Metallic,Unknown,19365,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
